#DeltaTime, Location Error, Velocity Error
/InverseX
5.68563e-10, 176.874, 1.73777e+10
4.73802e-10, 179.891, 1.73768e+10
4.06116e-10, 182.045, 1.73761e+10
3.55352e-10, 183.661, 1.73756e+10
3.15868e-10, 184.917, 1.73752e+10
2.84281e-10, 185.922, 1.73749e+10
2.58438e-10, 186.745, 1.73746e+10
2.36901e-10, 187.43, 1.73744e+10
2.18678e-10, 188.01, 1.73742e+10
2.03058e-10, 188.507, 1.73741e+10
1.89521e-10, 188.937, 1.7374e+10
1.77676e-10, 189.314, 1.73738e+10
1.67224e-10, 189.647, 1.73737e+10
1.57934e-10, 189.942, 1.73736e+10
1.49622e-10, 190.206, 1.73736e+10
1.42141e-10, 190.444, 1.73735e+10
1.35372e-10, 190.66, 1.73734e+10
1.29219e-10, 190.855, 1.73734e+10
1.23601e-10, 191.034, 1.73733e+10
1.18451e-10, 191.198, 1.73733e+10
1.13713e-10, 191.349, 1.73732e+10
1.09339e-10, 191.488, 1.73732e+10
1.05289e-10, 191.617, 1.73731e+10
1.01529e-10, 191.736, 1.73731e+10
9.80281e-11, 191.848, 1.73731e+10
9.47605e-11, 191.951, 1.7373e+10
9.17037e-11, 192.049, 1.7373e+10
8.8838e-11, 192.14, 1.7373e+10
8.61459e-11, 192.225, 1.73729e+10
8.36122e-11, 192.306, 1.73729e+10
8.12233e-11, 192.382, 1.73729e+10
7.89671e-11, 192.454, 1.73729e+10
7.68328e-11, 192.522, 1.73728e+10
7.48109e-11, 192.586, 1.73728e+10
7.28927e-11, 192.647, 1.73728e+10
7.10704e-11, 192.705, 1.73728e+10
6.93369e-11, 192.76, 1.73728e+10
6.76861e-11, 192.813, 1.73728e+10
6.6112e-11, 192.863, 1.73727e+10
6.46094e-11, 192.91, 1.73727e+10
6.31737e-11, 192.956, 1.73727e+10
6.18003e-11, 193, 1.73727e+10
6.04854e-11, 193.042, 1.73727e+10
5.92253e-11, 193.082, 1.73727e+10
5.80166e-11, 193.12, 1.73727e+10
5.68563e-11, 193.157, 1.73727e+10
5.57415e-11, 193.192, 1.73726e+10
5.46695e-11, 193.227, 1.73726e+10
5.3638e-11, 193.259, 1.73726e+10
5.26447e-11, 193.291, 1.73726e+10
5.16875e-11, 193.321, 1.73726e+10
5.07646e-11, 193.351, 1.73726e+10
4.98739e-11, 193.379, 1.73726e+10
4.9014e-11, 193.406, 1.73726e+10
4.81833e-11, 193.433, 1.73726e+10
4.73802e-11, 193.458, 1.73726e+10
4.66035e-11, 193.483, 1.73726e+10
4.58519e-11, 193.507, 1.73725e+10
4.5124e-11, 193.53, 1.73725e+10
4.4419e-11, 193.552, 1.73725e+10
4.37356e-11, 193.574, 1.73725e+10
4.3073e-11, 193.595, 1.73725e+10
4.24301e-11, 193.616, 1.73725e+10
4.18061e-11, 193.636, 1.73725e+10
4.12002e-11, 193.655, 1.73725e+10
4.06116e-11, 193.674, 1.73725e+10
4.00396e-11, 193.692, 1.73725e+10
3.94835e-11, 193.709, 1.73725e+10
3.89427e-11, 193.727, 1.73725e+10
3.84164e-11, 193.743, 1.73725e+10
3.79042e-11, 193.76, 1.73725e+10
3.74055e-11, 193.776, 1.73725e+10
3.69197e-11, 193.791, 1.73725e+10
3.64463e-11, 193.806, 1.73725e+10
3.5985e-11, 193.821, 1.73724e+10
3.55352e-11, 193.835, 1.73724e+10
3.50965e-11, 193.849, 1.73724e+10
3.46685e-11, 193.863, 1.73724e+10
3.42508e-11, 193.876, 1.73724e+10
3.3843e-11, 193.889, 1.73724e+10
3.34449e-11, 193.901, 1.73724e+10
3.3056e-11, 193.914, 1.73724e+10
3.2676e-11, 193.926, 1.73724e+10
3.23047e-11, 193.938, 1.73724e+10
3.19417e-11, 193.949, 1.73724e+10
3.15868e-11, 193.961, 1.73724e+10
3.12397e-11, 193.972, 1.73724e+10
3.09002e-11, 193.982, 1.73724e+10
3.05679e-11, 193.993, 1.73724e+10
