#DeltaTime, Location Error, Velocity Error
/InverseX
2.84281e-10, 3.01088, 6.48499e-05
2.36901e-10, 2.50938, 3.8147e-06
2.03058e-10, 2.1511, 4.19617e-05
1.77676e-10, 1.88234, 0.000198364
1.57934e-10, 1.67328, 1.52588e-05
1.42141e-10, 1.50601, 5.72205e-05
1.29219e-10, 1.36915, 1.14441e-05
1.18451e-10, 1.25509, 0.000297546
1.09339e-10, 1.15857, 8.7738e-05
1.01529e-10, 1.07584, 0.000106812
9.47605e-11, 1.00414, 0.000320435
8.8838e-11, 0.941393, 0.000102997
8.36122e-11, 0.886029, 0.00012207
7.89671e-11, 0.836816, 7.62939e-05
7.48109e-11, 0.792782, 0.000144958
7.10704e-11, 0.75315, 6.48499e-05
6.76861e-11, 0.717292, 0.000110626
6.46094e-11, 0.684694, 0.000514984
6.18003e-11, 0.654929, 0
5.92253e-11, 0.627645, 1.90735e-05
5.68563e-11, 0.602543, 0.000400543
5.46695e-11, 0.579372, 0.000228882
5.26447e-11, 0.557917, 0.000423431
5.07646e-11, 0.537994, 0.000923157
4.9014e-11, 0.519445, 6.48499e-05
4.73802e-11, 0.502132, 0.000164032
4.58519e-11, 0.485936, 3.8147e-06
4.4419e-11, 0.470752, 0.000179291
4.3073e-11, 0.456489, 1.52588e-05
4.18061e-11, 0.443064, 0.000244141
4.06116e-11, 0.430407, 0.000347137
3.94835e-11, 0.418452, 0.00087738
3.84164e-11, 0.407144, 1.14441e-05
3.74055e-11, 0.396431, 0.000213623
3.64463e-11, 0.386267, 0.000350952
3.55352e-11, 0.376611, 0.00107956
3.46685e-11, 0.367426, 0.00063324
3.3843e-11, 0.358679, 0.000396729
3.3056e-11, 0.350338, 0.00025177
3.23047e-11, 0.342377, 0.000171661
3.15868e-11, 0.334769, 0.000995636
3.09002e-11, 0.327492, 1.14441e-05
3.02427e-11, 0.320524, 0.000530243
2.96127e-11, 0.313847, 7.24792e-05
2.90083e-11, 0.307443, 0.000946045
2.84281e-11, 0.301294, 0.00050354
2.78707e-11, 0.295387, 0.000228882
2.73348e-11, 0.289707, 0.00146103
2.6819e-11, 0.284241, 0.000701904
2.63224e-11, 0.278978, 0.000221252
2.58438e-11, 0.273906, 0.001297
2.53823e-11, 0.269015, 0.000164032
2.4937e-11, 0.264296, 0.00114059
2.4507e-11, 0.259739, 0.00147247
2.40917e-11, 0.255337, 0.00114441
2.36901e-11, 0.251082, 0.001091
2.33018e-11, 0.246966, 0.000514984
2.29259e-11, 0.242983, 0.001297
2.2562e-11, 0.239126, 0.000465393
2.22095e-11, 0.23539, 0.00153351
2.18678e-11, 0.231769, 0.00144577
2.15365e-11, 0.228258, 0.00138855
2.1215e-11, 0.224851, 0.000286102
2.09031e-11, 0.221545, 0.00214767
2.06001e-11, 0.218334, 9.15527e-05
2.03058e-11, 0.215215, 0.00141907
2.00198e-11, 0.212184, 0.00181198
1.97418e-11, 0.209237, 0.00149918
1.94713e-11, 0.206371, 0.000797272
1.92082e-11, 0.203582, 0.000270844
1.89521e-11, 0.200868, 0.00038147
