#DeltaTime, Location Error, Velocity Error
/InverseX
1.78619e-11, 0.0124846, 2.52157
8.93097e-12, 0.0124834, 5.01817
5.95398e-12, 0.0124832, 7.51478
4.46548e-12, 0.0124831, 10.0114
3.57239e-12, 0.0124831, 12.508
2.97699e-12, 0.0124831, 15.0046
2.5517e-12, 0.0124831, 17.5012
2.23274e-12, 0.012483, 19.9978
1.98466e-12, 0.012483, 22.4944
1.78619e-12, 0.012483, 24.991
1.62381e-12, 0.012483, 27.4876
1.48849e-12, 0.012483, 29.9842
1.37399e-12, 0.012483, 32.4808
1.27585e-12, 0.012483, 34.9774
1.1908e-12, 0.012483, 37.474
1.11637e-12, 0.012483, 39.9706
1.0507e-12, 0.012483, 42.4672
9.9233e-13, 0.012483, 44.9638
9.40102e-13, 0.012483, 47.4604
8.93097e-13, 0.012483, 49.957
8.50568e-13, 0.012483, 52.4536
8.11906e-13, 0.012483, 54.9503
7.76606e-13, 0.012483, 57.4469
7.44247e-13, 0.012483, 59.9435
7.14477e-13, 0.012483, 62.4401
6.86997e-13, 0.012483, 64.9367
6.61553e-13, 0.012483, 67.4333
6.37926e-13, 0.012483, 69.9299
6.15929e-13, 0.012483, 72.4265
5.95398e-13, 0.012483, 74.9231
5.76191e-13, 0.012483, 77.4197
5.58185e-13, 0.012483, 79.9163
5.41271e-13, 0.012483, 82.4129
5.25351e-13, 0.012483, 84.9095
5.10341e-13, 0.012483, 87.4061
4.96165e-13, 0.012483, 89.9027
4.82755e-13, 0.012483, 92.3993
4.70051e-13, 0.012483, 94.8959
4.57998e-13, 0.012483, 97.3925
4.46548e-13, 0.012483, 99.8891
4.35657e-13, 0.012483, 102.386
4.25284e-13, 0.012483, 104.882
4.15394e-13, 0.012483, 107.379
4.05953e-13, 0.012483, 109.876
3.96932e-13, 0.012483, 112.372
3.88303e-13, 0.012483, 114.869
3.80041e-13, 0.012483, 117.365
3.72124e-13, 0.012483, 119.862
3.64529e-13, 0.012483, 122.359
3.57239e-13, 0.012483, 124.855
3.50234e-13, 0.012483, 127.352
3.43499e-13, 0.012483, 129.848
3.37018e-13, 0.012483, 132.345
3.30777e-13, 0.012483, 134.842
3.24762e-13, 0.012483, 137.338
3.18963e-13, 0.012483, 139.835
3.13367e-13, 0.012483, 142.331
3.07964e-13, 0.012483, 144.828
3.02745e-13, 0.012483, 147.325
2.97699e-13, 0.012483, 149.821
2.92819e-13, 0.012483, 152.318
2.88096e-13, 0.012483, 154.814
2.83523e-13, 0.012483, 157.311
2.79093e-13, 0.012483, 159.808
2.74799e-13, 0.012483, 162.304
2.70635e-13, 0.012483, 164.801
2.66596e-13, 0.012483, 167.297
2.62675e-13, 0.012483, 169.794
2.58869e-13, 0.012483, 172.291
2.5517e-13, 0.012483, 174.787
2.51577e-13, 0.012483, 177.284
2.48082e-13, 0.012483, 179.78
2.44684e-13, 0.012483, 182.277
2.41377e-13, 0.012483, 184.774
2.38159e-13, 0.012483, 187.27
2.35025e-13, 0.012483, 189.767
2.31973e-13, 0.012483, 192.263
2.28999e-13, 0.012483, 194.76
2.261e-13, 0.012483, 197.257
2.23274e-13, 0.012483, 199.753
2.20518e-13, 0.012483, 202.25
2.17828e-13, 0.012483, 204.746
2.15204e-13, 0.012483, 207.243
2.12642e-13, 0.012483, 209.74
2.1014e-13, 0.012483, 212.236
2.07697e-13, 0.012483, 214.733
2.0531e-13, 0.012483, 217.23
2.02977e-13, 0.012483, 219.726
2.00696e-13, 0.012483, 222.223
1.98466e-13, 0.012483, 224.719
1.96285e-13, 0.012483, 227.216
1.94151e-13, 0.012483, 229.713
1.92064e-13, 0.012483, 232.209
1.90021e-13, 0.012483, 234.706
1.8802e-13, 0.012483, 237.202
1.86062e-13, 0.012483, 239.699
1.84144e-13, 0.012483, 242.196
1.82265e-13, 0.012483, 244.692
1.80424e-13, 0.012483, 247.189
