#DeltaTime, Location Error, Velocity Error
/InverseX
8.93097e-12, 0.000195674, 171723
7.44247e-12, 0.000163119, 143202
6.37926e-12, 0.000139851, 122806
5.58185e-12, 0.000122393, 107495
4.96165e-12, 0.000108809, 95578.7
4.46548e-12, 9.79399e-05, 86040.7
4.05953e-12, 8.90447e-05, 78233.5
3.72124e-12, 8.16307e-05, 71725.3
3.43499e-12, 7.53565e-05, 66216.8
3.18963e-12, 6.99779e-05, 61494
2.97699e-12, 6.53159e-05, 57400.1
2.79093e-12, 6.12363e-05, 53817.2
2.62675e-12, 5.76364e-05, 50655.3
2.48082e-12, 5.44362e-05, 47844.4
2.35025e-12, 5.15727e-05, 45329
2.23274e-12, 4.89954e-05, 43064.9
2.12642e-12, 4.66634e-05, 41016.2
2.02977e-12, 4.45434e-05, 39153.6
1.94151e-12, 4.26076e-05, 37452.8
1.86062e-12, 4.0833e-05, 35893.6
1.78619e-12, 3.92004e-05, 34459
1.71749e-12, 3.76933e-05, 33134.7
1.65388e-12, 3.62978e-05, 31908.5
1.59482e-12, 3.50019e-05, 30769.7
1.53982e-12, 3.37954e-05, 29709.4
1.48849e-12, 3.26692e-05, 28719.8
1.44048e-12, 3.16157e-05, 27794
1.39546e-12, 3.06281e-05, 26926
1.35318e-12, 2.97002e-05, 26110.5
1.31338e-12, 2.8827e-05, 25343.1
1.27585e-12, 2.80036e-05, 24619.4
1.24041e-12, 2.72259e-05, 23935.9
1.20689e-12, 2.64903e-05, 23289.4
1.17513e-12, 2.57934e-05, 22676.8
1.145e-12, 2.51322e-05, 22095.7
1.11637e-12, 2.4504e-05, 21543.6
1.08914e-12, 2.39065e-05, 21018.4
1.06321e-12, 2.33375e-05, 20518.2
1.03848e-12, 2.27949e-05, 20041.2
1.01488e-12, 2.22769e-05, 19586
9.9233e-13, 2.1782e-05, 19150.9
9.70757e-13, 2.13086e-05, 18734.8
9.50103e-13, 2.08553e-05, 18336.3
9.30309e-13, 2.04209e-05, 17954.5
9.11323e-13, 2.00042e-05, 17588.2
8.93097e-13, 1.96042e-05, 17236.6
8.75585e-13, 1.92199e-05, 16898.8
8.58747e-13, 1.88504e-05, 16573.9
8.42544e-13, 1.84948e-05, 16261.3
8.26941e-13, 1.81524e-05, 15960.3
8.11906e-13, 1.78224e-05, 15670.2
7.97408e-13, 1.75042e-05, 15390.5
7.83418e-13, 1.71971e-05, 15120.6
7.69911e-13, 1.69007e-05, 14860
7.56862e-13, 1.66143e-05, 14608.2
7.44247e-13, 1.63374e-05, 14364.8
7.32046e-13, 1.60696e-05, 14129.4
7.20239e-13, 1.58105e-05, 13901.6
7.08807e-13, 1.55596e-05, 13681
6.97732e-13, 1.53165e-05, 13467.3
6.86997e-13, 1.50809e-05, 13260.2
6.76588e-13, 1.48524e-05, 13059.4
6.6649e-13, 1.46308e-05, 12864.5
6.56689e-13, 1.44157e-05, 12675.4
6.47172e-13, 1.42068e-05, 12491.7
6.37926e-13, 1.40039e-05, 12313.3
6.28941e-13, 1.38066e-05, 12139.9
6.20206e-13, 1.36149e-05, 11971.4
6.1171e-13, 1.34284e-05, 11807.4
6.03444e-13, 1.3247e-05, 11647.9
5.95398e-13, 1.30704e-05, 11492.7
5.87564e-13, 1.28984e-05, 11341.5
5.79933e-13, 1.27309e-05, 11194.2
5.72498e-13, 1.25678e-05, 11050.8
5.65251e-13, 1.24087e-05, 10910.9
5.58185e-13, 1.22536e-05, 10774.6
5.51294e-13, 1.21023e-05, 10641.6
5.44571e-13, 1.19548e-05, 10511.8
5.3801e-13, 1.18108e-05, 10385.2
5.31605e-13, 1.16702e-05, 10261.6
5.25351e-13, 1.15329e-05, 10140.9
5.19242e-13, 1.13988e-05, 10023
5.13274e-13, 1.12678e-05, 9907.84
5.07441e-13, 1.11398e-05, 9795.28
5.0174e-13, 1.10146e-05, 9685.24
4.96165e-13, 1.08922e-05, 9577.65
4.90712e-13, 1.07726e-05, 9472.43
4.85379e-13, 1.06555e-05, 9369.49
4.8016e-13, 1.05409e-05, 9268.77
4.75051e-13, 1.04288e-05, 9170.18
4.70051e-13, 1.0319e-05, 9073.68
4.65155e-13, 1.02116e-05, 8979.18
4.60359e-13, 1.01063e-05, 8886.63
4.55662e-13, 1.00032e-05, 8795.97
4.51059e-13, 9.90214e-06, 8707.14
4.46548e-13, 9.80313e-06, 8620.09
4.42127e-13, 9.70608e-06, 8534.76
4.37792e-13, 9.61093e-06, 8451.1
4.33542e-13, 9.51763e-06, 8369.07
4.29373e-13, 9.42613e-06, 8288.61
4.25284e-13, 9.33636e-06, 8209.69
4.21272e-13, 9.24829e-06, 8132.25
4.17335e-13, 9.16187e-06, 8056.26
4.13471e-13, 9.07704e-06, 7981.68
4.09677e-13, 8.99378e-06, 7908.47
4.05953e-13, 8.91202e-06, 7836.59
4.02296e-13, 8.83174e-06, 7766
3.98704e-13, 8.75289e-06, 7696.67
3.95176e-13, 8.67544e-06, 7628.58
3.91709e-13, 8.59935e-06, 7561.67
3.88303e-13, 8.52458e-06, 7495.93
3.84955e-13, 8.4511e-06, 7431.32
3.81665e-13, 8.37887e-06, 7367.82
3.78431e-13, 8.30787e-06, 7305.39
3.75251e-13, 8.23806e-06, 7244.01
3.72124e-13, 8.16942e-06, 7183.65
3.69048e-13, 8.10191e-06, 7124.29
3.66023e-13, 8.0355e-06, 7065.91
3.63047e-13, 7.97018e-06, 7008.47
3.6012e-13, 7.90591e-06, 6951.96
3.57239e-13, 7.84267e-06, 6896.35
3.54403e-13, 7.78043e-06, 6841.63
3.51613e-13, 7.71917e-06, 6787.77
3.48866e-13, 7.65887e-06, 6734.75
3.46162e-13, 7.5995e-06, 6682.55
3.43499e-13, 7.54105e-06, 6631.15
3.40877e-13, 7.48349e-06, 6580.54
3.38294e-13, 7.4268e-06, 6530.69
3.35751e-13, 7.37096e-06, 6481.6
3.33245e-13, 7.31596e-06, 6433.24
3.30777e-13, 7.26177e-06, 6385.59
3.28344e-13, 7.20838e-06, 6338.64
3.25948e-13, 7.15577e-06, 6292.38
3.23586e-13, 7.10392e-06, 6246.79
3.21258e-13, 7.05282e-06, 6201.86
3.18963e-13, 7.00244e-06, 6157.57
3.16701e-13, 6.95278e-06, 6113.9
3.14471e-13, 6.90382e-06, 6070.85
3.12272e-13, 6.85555e-06, 6028.41
3.10103e-13, 6.80794e-06, 5986.55
3.07964e-13, 6.761e-06, 5945.27
3.05855e-13, 6.71469e-06, 5904.55
3.03774e-13, 6.66902e-06, 5864.39
3.01722e-13, 6.62396e-06, 5824.77
2.99697e-13, 6.57951e-06, 5785.68
2.97699e-13, 6.53565e-06, 5747.12
2.95727e-13, 6.49237e-06, 5709.06
2.93782e-13, 6.44966e-06, 5671.51
2.91862e-13, 6.4075e-06, 5634.44
2.89966e-13, 6.3659e-06, 5597.86
2.88096e-13, 6.32483e-06, 5561.75
2.86249e-13, 6.28429e-06, 5526.1
2.84426e-13, 6.24427e-06, 5490.91
2.82626e-13, 6.20475e-06, 5456.16
2.80848e-13, 6.16573e-06, 5421.85
2.79093e-13, 6.12719e-06, 5387.97
2.77359e-13, 6.08914e-06, 5354.51
2.75647e-13, 6.05155e-06, 5321.46
2.73956e-13, 6.01443e-06, 5288.82
2.72286e-13, 5.97776e-06, 5256.57
2.70635e-13, 5.94153e-06, 5224.72
2.69005e-13, 5.90574e-06, 5193.25
2.67394e-13, 5.87038e-06, 5162.15
2.65803e-13, 5.83544e-06, 5131.43
2.6423e-13, 5.80091e-06, 5101.07
2.62675e-13, 5.76679e-06, 5071.07
2.61139e-13, 5.73307e-06, 5041.42
2.59621e-13, 5.69974e-06, 5012.11
2.5812e-13, 5.6668e-06, 4983.14
2.56637e-13, 5.63423e-06, 4954.51
2.5517e-13, 5.60204e-06, 4926.2
2.53721e-13, 5.57021e-06, 4898.21
2.52287e-13, 5.53874e-06, 4870.54
