#DeltaTime, Location Error, Velocity Error
/InverseX
5.68563e-10, 18.1297, 1.05202e+08
4.73802e-10, 15.1011, 8.77775e+07
4.06116e-10, 12.9395, 7.53049e+07
3.55352e-10, 11.3192, 6.59358e+07
3.15868e-10, 10.0596, 5.86401e+07
2.84281e-10, 9.05224, 5.27981e+07
2.58438e-10, 8.22826, 4.80146e+07
2.36901e-10, 7.54177, 4.40259e+07
2.18678e-10, 6.96101, 4.0649e+07
2.03058e-10, 6.4633, 3.77533e+07
1.89521e-10, 6.03201, 3.52427e+07
1.77676e-10, 5.65468, 3.30452e+07
1.67224e-10, 5.32177, 3.11056e+07
1.57934e-10, 5.02589, 2.93811e+07
1.49622e-10, 4.76117, 2.78378e+07
1.42141e-10, 4.52295, 2.64485e+07
1.35372e-10, 4.30742, 2.51913e+07
1.29219e-10, 4.11151, 2.40482e+07
1.23601e-10, 3.93264, 2.30044e+07
1.18451e-10, 3.76868, 2.20473e+07
1.13713e-10, 3.61785, 2.11668e+07
1.09339e-10, 3.47863, 2.03538e+07
1.05289e-10, 3.34972, 1.9601e+07
1.01529e-10, 3.23003, 1.89019e+07
9.80281e-11, 3.11859, 1.8251e+07
9.47605e-11, 3.01459, 1.76434e+07
9.17037e-11, 2.9173, 1.70749e+07
8.8838e-11, 2.8261, 1.6542e+07
8.61459e-11, 2.74042, 1.60413e+07
8.36122e-11, 2.65979, 1.557e+07
8.12233e-11, 2.58376, 1.51256e+07
7.89671e-11, 2.51196, 1.47059e+07
7.68328e-11, 2.44405, 1.43088e+07
7.48109e-11, 2.37971, 1.39326e+07
7.28927e-11, 2.31867, 1.35757e+07
7.10704e-11, 2.26068, 1.32367e+07
6.93369e-11, 2.20552, 1.29141e+07
6.76861e-11, 2.15299, 1.26069e+07
6.6112e-11, 2.1029, 1.2314e+07
6.46094e-11, 2.0551, 1.20344e+07
6.31737e-11, 2.00941, 1.17672e+07
6.18003e-11, 1.96572, 1.15116e+07
6.04854e-11, 1.92388, 1.12668e+07
5.92253e-11, 1.88379, 1.10323e+07
5.80166e-11, 1.84533, 1.08073e+07
5.68563e-11, 1.80842, 1.05913e+07
5.57415e-11, 1.77295, 1.03838e+07
5.46695e-11, 1.73884, 1.01843e+07
5.3638e-11, 1.70602, 9.99223e+06
5.26447e-11, 1.67442, 9.80732e+06
5.16875e-11, 1.64397, 9.62913e+06
5.07646e-11, 1.61461, 9.45729e+06
4.98739e-11, 1.58627, 9.29149e+06
4.9014e-11, 1.55892, 9.13139e+06
4.81833e-11, 1.53249, 8.97672e+06
4.73802e-11, 1.50694, 8.8272e+06
4.66035e-11, 1.48223, 8.68258e+06
4.58519e-11, 1.45832, 8.54263e+06
4.5124e-11, 1.43517, 8.40711e+06
4.4419e-11, 1.41274, 8.27582e+06
4.37356e-11, 1.391, 8.14858e+06
4.3073e-11, 1.36992, 8.02518e+06
4.24301e-11, 1.34947, 7.90547e+06
4.18061e-11, 1.32962, 7.78928e+06
4.12002e-11, 1.31034, 7.67645e+06
4.06116e-11, 1.29162, 7.56685e+06
4.00396e-11, 1.27343, 7.46033e+06
3.94835e-11, 1.25574, 7.35677e+06
3.89427e-11, 1.23853, 7.25604e+06
3.84164e-11, 1.22179, 7.15804e+06
3.79042e-11, 1.2055, 7.06264e+06
3.74055e-11, 1.18963, 6.96976e+06
3.69197e-11, 1.17418, 6.87929e+06
3.64463e-11, 1.15912, 6.79113e+06
3.5985e-11, 1.14445, 6.70521e+06
3.55352e-11, 1.13014, 6.62144e+06
3.50965e-11, 1.11619, 6.53973e+06
3.46685e-11, 1.10257, 6.46001e+06
3.42508e-11, 1.08928, 6.38221e+06
3.3843e-11, 1.07631, 6.30627e+06
3.34449e-11, 1.06365, 6.23211e+06
3.3056e-11, 1.05128, 6.15968e+06
3.2676e-11, 1.03919, 6.08891e+06
3.23047e-11, 1.02738, 6.01974e+06
3.19417e-11, 1.01584, 5.95213e+06
3.15868e-11, 1.00455, 5.88603e+06
3.12397e-11, 0.993508, 5.82137e+06
3.09002e-11, 0.982708, 5.75812e+06
3.05679e-11, 0.972139, 5.69623e+06
3.02427e-11, 0.961796, 5.63566e+06
2.99244e-11, 0.95167, 5.57636e+06
2.96127e-11, 0.941756, 5.51829e+06
2.93074e-11, 0.932045, 5.46143e+06
2.90083e-11, 0.922533, 5.40572e+06
2.87153e-11, 0.913213, 5.35114e+06
2.84281e-11, 0.90408, 5.29765e+06
2.81467e-11, 0.895127, 5.24521e+06
2.78707e-11, 0.88635, 5.19381e+06
2.76001e-11, 0.877744, 5.1434e+06
2.73348e-11, 0.869303, 5.09396e+06
2.70744e-11, 0.861023, 5.04547e+06
2.6819e-11, 0.852899, 4.99788e+06
2.65684e-11, 0.844927, 4.95119e+06
2.63224e-11, 0.837102, 4.90536e+06
2.60809e-11, 0.829422, 4.86038e+06
2.58438e-11, 0.82188, 4.81621e+06
2.56109e-11, 0.814475, 4.77283e+06
2.53823e-11, 0.807202, 4.73023e+06
2.51577e-11, 0.800058, 4.68838e+06
2.4937e-11, 0.793039, 4.64727e+06
2.47201e-11, 0.786142, 4.60687e+06
2.4507e-11, 0.779364, 4.56717e+06
2.42976e-11, 0.772702, 4.52815e+06
2.40917e-11, 0.766153, 4.48979e+06
2.38892e-11, 0.759714, 4.45207e+06
2.36901e-11, 0.753382, 4.41498e+06
2.34943e-11, 0.747155, 4.3785e+06
2.33018e-11, 0.74103, 4.34263e+06
2.31123e-11, 0.735005, 4.30733e+06
