#x, Bz, Ey
0, -4.79177e-05, 4.79177e-05
2.99792e+10, 0.0490198, 0.0491155
5.99585e+10, 0.0979695, 0.0980648
8.99377e+10, 0.146683, 0.146778
1.19917e+11, 0.195043, 0.195137
1.49896e+11, 0.242934, 0.243027
1.79875e+11, 0.290239, 0.290331
2.09855e+11, 0.336845, 0.336935
2.39834e+11, 0.382639, 0.382728
2.69813e+11, 0.427512, 0.427598
2.99792e+11, 0.471354, 0.471439
3.29772e+11, 0.514062, 0.514144
3.59751e+11, 0.55553, 0.55561
3.8973e+11, 0.595661, 0.595738
4.19709e+11, 0.634356, 0.63443
4.49689e+11, 0.671523, 0.671594
4.79668e+11, 0.707073, 0.707141
5.09647e+11, 0.740919, 0.740983
5.39626e+11, 0.77298, 0.773041
5.69606e+11, 0.803179, 0.803236
5.99585e+11, 0.831443, 0.831496
6.29564e+11, 0.857704, 0.857753
6.59543e+11, 0.881899, 0.881944
6.89523e+11, 0.903969, 0.90401
7.19502e+11, 0.923861, 0.923898
7.49481e+11, 0.941528, 0.94156
7.7946e+11, 0.956926, 0.956954
8.0944e+11, 0.97002, 0.970043
8.39419e+11, 0.980776, 0.980795
8.69398e+11, 0.989169, 0.989184
8.99377e+11, 0.99518, 0.995189
9.29357e+11, 0.998793, 0.998798
9.59336e+11, 1, 1
9.89315e+11, 0.998798, 0.998793
1.01929e+12, 0.995189, 0.99518
1.04927e+12, 0.989184, 0.989169
1.07925e+12, 0.980795, 0.980776
1.10923e+12, 0.970043, 0.97002
1.13921e+12, 0.956954, 0.956926
1.16919e+12, 0.94156, 0.941528
1.19917e+12, 0.923898, 0.923861
1.22915e+12, 0.90401, 0.903969
1.25913e+12, 0.881944, 0.881899
1.28911e+12, 0.857753, 0.857704
1.31909e+12, 0.831496, 0.831443
1.34907e+12, 0.803236, 0.803179
1.37905e+12, 0.773041, 0.77298
1.40902e+12, 0.740983, 0.740919
1.439e+12, 0.707141, 0.707073
1.46898e+12, 0.671594, 0.671523
1.49896e+12, 0.63443, 0.634356
1.52894e+12, 0.595738, 0.595661
1.55892e+12, 0.55561, 0.55553
1.5889e+12, 0.514144, 0.514062
1.61888e+12, 0.471439, 0.471354
1.64886e+12, 0.427598, 0.427512
1.67884e+12, 0.382728, 0.382639
1.70882e+12, 0.336935, 0.336845
1.7388e+12, 0.290331, 0.290239
1.76878e+12, 0.243027, 0.242934
1.79875e+12, 0.195137, 0.195043
1.82873e+12, 0.146778, 0.146683
1.85871e+12, 0.0980648, 0.0979695
1.88869e+12, 0.0491155, 0.0490198
1.91867e+12, 4.79177e-05, -4.79177e-05
1.94865e+12, -0.0490198, -0.0491155
1.97863e+12, -0.0979695, -0.0980648
2.00861e+12, -0.146683, -0.146778
2.03859e+12, -0.195043, -0.195137
2.06857e+12, -0.242934, -0.243027
2.09855e+12, -0.290239, -0.290331
2.12853e+12, -0.336845, -0.336935
2.15851e+12, -0.382639, -0.382728
2.18848e+12, -0.427512, -0.427598
2.21846e+12, -0.471354, -0.471439
2.24844e+12, -0.514062, -0.514144
2.27842e+12, -0.55553, -0.55561
2.3084e+12, -0.595661, -0.595738
2.33838e+12, -0.634356, -0.63443
2.36836e+12, -0.671523, -0.671594
2.39834e+12, -0.707073, -0.707141
2.42832e+12, -0.740919, -0.740983
2.4583e+12, -0.77298, -0.773041
2.48828e+12, -0.803179, -0.803236
2.51826e+12, -0.831443, -0.831496
2.54824e+12, -0.857704, -0.857753
2.57822e+12, -0.881899, -0.881944
2.60819e+12, -0.903969, -0.90401
2.63817e+12, -0.923861, -0.923898
2.66815e+12, -0.941528, -0.94156
2.69813e+12, -0.956926, -0.956954
2.72811e+12, -0.97002, -0.970043
2.75809e+12, -0.980776, -0.980795
2.78807e+12, -0.989169, -0.989184
2.81805e+12, -0.99518, -0.995189
2.84803e+12, -0.998793, -0.998798
2.87801e+12, -1, -1
2.90799e+12, -0.998798, -0.998793
2.93797e+12, -0.995189, -0.99518
2.96795e+12, -0.989184, -0.989169
2.99792e+12, -0.980795, -0.980776
3.0279e+12, -0.970043, -0.97002
3.05788e+12, -0.956954, -0.956926
3.08786e+12, -0.94156, -0.941528
3.11784e+12, -0.923898, -0.923861
3.14782e+12, -0.90401, -0.903969
3.1778e+12, -0.881944, -0.881899
3.20778e+12, -0.857753, -0.857704
3.23776e+12, -0.831496, -0.831443
3.26774e+12, -0.803236, -0.803179
3.29772e+12, -0.773041, -0.77298
3.3277e+12, -0.740983, -0.740919
3.35768e+12, -0.707141, -0.707073
3.38765e+12, -0.671594, -0.671523
3.41763e+12, -0.63443, -0.634356
3.44761e+12, -0.595738, -0.595661
3.47759e+12, -0.55561, -0.55553
3.50757e+12, -0.514144, -0.514062
3.53755e+12, -0.471439, -0.471354
3.56753e+12, -0.427598, -0.427512
3.59751e+12, -0.382728, -0.382639
3.62749e+12, -0.336935, -0.336845
3.65747e+12, -0.290331, -0.290239
3.68745e+12, -0.243027, -0.242934
3.71743e+12, -0.195137, -0.195043
3.74741e+12, -0.146778, -0.146683
3.77738e+12, -0.0980648, -0.0979695
3.80736e+12, -0.0491155, -0.0490198
0, -0.0491353, 0.0491353
2.99792e+10, 5.0772e-05, 0.098203
5.99585e+10, 0.0492368, 0.147034
8.99377e+10, 0.0983041, 0.195511
1.19917e+11, 0.147135, 0.243517
1.49896e+11, 0.195611, 0.290936
1.79875e+11, 0.243616, 0.337654
2.09855e+11, 0.291034, 0.383559
2.39834e+11, 0.33775, 0.42854
2.69813e+11, 0.383654, 0.472488
2.99792e+11, 0.428632, 0.515298
3.29772e+11, 0.472579, 0.556867
3.59751e+11, 0.515387, 0.597094
3.8973e+11, 0.556953, 0.635883
4.19709e+11, 0.597177, 0.67314
4.49689e+11, 0.635963, 0.708775
4.79668e+11, 0.673217, 0.742703
5.09647e+11, 0.708849, 0.774841
5.39626e+11, 0.742773, 0.805113
5.69606e+11, 0.774908, 0.833445
5.99585e+11, 0.805176, 0.85977
6.29564e+11, 0.833504, 0.884023
6.59543e+11, 0.859824, 0.906146
6.89523e+11, 0.884073, 0.926087
7.19502e+11, 0.906192, 0.943796
7.49481e+11, 0.926128, 0.959232
7.7946e+11, 0.943833, 0.972357
8.0944e+11, 0.959264, 0.983139
8.39419e+11, 0.972384, 0.991553
8.69398e+11, 0.983161, 0.997578
8.99377e+11, 0.99157, 1.0012
9.29357e+11, 0.997591, 1.00241
9.59336e+11, 1.00121, 1.00121
9.89315e+11, 1.00241, 0.997588
1.01929e+12, 1.0012, 0.991568
1.04927e+12, 0.997581, 0.983159
1.07925e+12, 0.991555, 0.972382
1.10923e+12, 0.983142, 0.959261
1.13921e+12, 0.972359, 0.94383
1.16919e+12, 0.959234, 0.926126
1.19917e+12, 0.943798, 0.90619
1.22915e+12, 0.926089, 0.884071
1.25913e+12, 0.906149, 0.859822
1.28911e+12, 0.884025, 0.833502
1.31909e+12, 0.859772, 0.805174
1.34907e+12, 0.833447, 0.774906
1.37905e+12, 0.805115, 0.742771
1.40902e+12, 0.774843, 0.708847
1.439e+12, 0.742705, 0.673215
1.46898e+12, 0.708777, 0.635961
1.49896e+12, 0.673142, 0.597176
1.52894e+12, 0.635885, 0.556951
1.55892e+12, 0.597096, 0.515385
1.5889e+12, 0.556868, 0.472578
1.61888e+12, 0.515299, 0.428631
1.64886e+12, 0.472489, 0.383653
1.67884e+12, 0.428541, 0.33775
1.70882e+12, 0.38356, 0.291033
1.7388e+12, 0.337655, 0.243615
1.76878e+12, 0.290936, 0.19561
1.79875e+12, 0.243517, 0.147134
1.82873e+12, 0.195511, 0.0983038
1.85871e+12, 0.147034, 0.0492365
1.88869e+12, 0.0982031, 5.06565e-05
1.91867e+12, 0.0491353, -0.0491353
1.94865e+12, -5.0772e-05, -0.098203
1.97863e+12, -0.0492368, -0.147034
2.00861e+12, -0.0983041, -0.195511
2.03859e+12, -0.147135, -0.243517
2.06857e+12, -0.195611, -0.290936
2.09855e+12, -0.243616, -0.337654
2.12853e+12, -0.291034, -0.383559
2.15851e+12, -0.33775, -0.42854
2.18848e+12, -0.383654, -0.472488
2.21846e+12, -0.428632, -0.515298
2.24844e+12, -0.472579, -0.556867
2.27842e+12, -0.515387, -0.597094
2.3084e+12, -0.556953, -0.635883
2.33838e+12, -0.597177, -0.67314
2.36836e+12, -0.635963, -0.708775
2.39834e+12, -0.673217, -0.742703
2.42832e+12, -0.708849, -0.774841
2.4583e+12, -0.742773, -0.805113
2.48828e+12, -0.774908, -0.833445
2.51826e+12, -0.805176, -0.85977
2.54824e+12, -0.833504, -0.884023
2.57822e+12, -0.859824, -0.906146
2.60819e+12, -0.884073, -0.926087
2.63817e+12, -0.906192, -0.943796
2.66815e+12, -0.926128, -0.959232
2.69813e+12, -0.943833, -0.972357
2.72811e+12, -0.959264, -0.983139
2.75809e+12, -0.972384, -0.991553
2.78807e+12, -0.983161, -0.997578
2.81805e+12, -0.99157, -1.0012
2.84803e+12, -0.997591, -1.00241
2.87801e+12, -1.00121, -1.00121
2.90799e+12, -1.00241, -0.997588
2.93797e+12, -1.0012, -0.991568
2.96795e+12, -0.997581, -0.983159
2.99792e+12, -0.991555, -0.972382
3.0279e+12, -0.983142, -0.959261
3.05788e+12, -0.972359, -0.94383
3.08786e+12, -0.959234, -0.926126
3.11784e+12, -0.943798, -0.90619
3.14782e+12, -0.926089, -0.884071
3.1778e+12, -0.906149, -0.859822
3.20778e+12, -0.884025, -0.833502
3.23776e+12, -0.859772, -0.805174
3.26774e+12, -0.833447, -0.774906
3.29772e+12, -0.805115, -0.742771
3.3277e+12, -0.774843, -0.708847
3.35768e+12, -0.742705, -0.673215
3.38765e+12, -0.708777, -0.635961
3.41763e+12, -0.673142, -0.597176
3.44761e+12, -0.635885, -0.556951
3.47759e+12, -0.597096, -0.515385
3.50757e+12, -0.556868, -0.472578
3.53755e+12, -0.515299, -0.428631
3.56753e+12, -0.472489, -0.383653
3.59751e+12, -0.428541, -0.33775
3.62749e+12, -0.38356, -0.291033
3.65747e+12, -0.337655, -0.243615
3.68745e+12, -0.290936, -0.19561
3.71743e+12, -0.243517, -0.147134
3.74741e+12, -0.195511, -0.0983038
3.77738e+12, -0.147034, -0.0492365
3.80736e+12, -0.0982031, -5.06565e-05
0, -0.0983411, 0.0983411
2.99792e+10, -0.0489181, 0.147527
5.99585e+10, 0.000622641, 0.196357
8.99377e+10, 0.0501619, 0.244715
1.19917e+11, 0.0995804, 0.292482
1.49896e+11, 0.148759, 0.339546
1.79875e+11, 0.197579, 0.385791
2.09855e+11, 0.245923, 0.431107
2.39834e+11, 0.293675, 0.475384
2.69813e+11, 0.340719, 0.518516
2.99792e+11, 0.386943, 0.560399
3.29772e+11, 0.432234, 0.600931
3.59751e+11, 0.476484, 0.640017
3.8973e+11, 0.519586, 0.67756
4.19709e+11, 0.561436, 0.713471
4.49689e+11, 0.601934, 0.747663
4.79668e+11, 0.640982, 0.780054
5.09647e+11, 0.678485, 0.810565
5.39626e+11, 0.714354, 0.839124
5.69606e+11, 0.748502, 0.865662
5.99585e+11, 0.780847, 0.890114
6.29564e+11, 0.811311, 0.912422
6.59543e+11, 0.83982, 0.932531
6.89523e+11, 0.866306, 0.950394
7.19502e+11, 0.890705, 0.965968
7.49481e+11, 0.912958, 0.979214
7.7946e+11, 0.933012, 0.990101
8.0944e+11, 0.950818, 0.998603
8.39419e+11, 0.966333, 1.0047
8.69398e+11, 0.979521, 1.00838
8.99377e+11, 0.990349, 1.00962
9.29357e+11, 0.99879, 1.00844
9.59336e+11, 1.00483, 1.00482
9.89315e+11, 1.00844, 0.998786
1.01929e+12, 1.00963, 0.990344
1.04927e+12, 1.00838, 0.979516
1.07925e+12, 1.0047, 0.966329
1.10923e+12, 0.998608, 0.950813
1.13921e+12, 0.990106, 0.933007
1.16919e+12, 0.979218, 0.912954
1.19917e+12, 0.965972, 0.890701
1.22915e+12, 0.950398, 0.866302
1.25913e+12, 0.932535, 0.839816
1.28911e+12, 0.912426, 0.811307
1.31909e+12, 0.890118, 0.780843
1.34907e+12, 0.865666, 0.748498
1.37905e+12, 0.839128, 0.714351
1.40902e+12, 0.810569, 0.678482
1.439e+12, 0.780057, 0.640978
1.46898e+12, 0.747666, 0.601931
1.49896e+12, 0.713474, 0.561433
1.52894e+12, 0.677563, 0.519583
1.55892e+12, 0.640019, 0.476481
1.5889e+12, 0.600934, 0.432232
1.61888e+12, 0.560401, 0.38694
1.64886e+12, 0.518518, 0.340717
1.67884e+12, 0.475386, 0.293673
1.70882e+12, 0.431108, 0.245922
1.7388e+12, 0.385792, 0.197578
1.76878e+12, 0.339547, 0.148758
1.79875e+12, 0.292483, 0.0995795
1.82873e+12, 0.244715, 0.0501612
1.85871e+12, 0.196358, 0.000622179
1.88869e+12, 0.147527, -0.0489184
1.91867e+12, 0.0983411, -0.0983411
1.94865e+12, 0.0489181, -0.147527
1.97863e+12, -0.000622641, -0.196357
2.00861e+12, -0.0501619, -0.244715
2.03859e+12, -0.0995804, -0.292482
2.06857e+12, -0.148759, -0.339546
2.09855e+12, -0.197579, -0.385791
2.12853e+12, -0.245923, -0.431107
2.15851e+12, -0.293675, -0.475384
2.18848e+12, -0.340719, -0.518516
2.21846e+12, -0.386943, -0.560399
2.24844e+12, -0.432234, -0.600931
2.27842e+12, -0.476484, -0.640017
2.3084e+12, -0.519586, -0.67756
2.33838e+12, -0.561436, -0.713471
2.36836e+12, -0.601934, -0.747663
2.39834e+12, -0.640982, -0.780054
2.42832e+12, -0.678485, -0.810565
2.4583e+12, -0.714354, -0.839124
2.48828e+12, -0.748502, -0.865662
2.51826e+12, -0.780847, -0.890114
2.54824e+12, -0.811311, -0.912422
2.57822e+12, -0.83982, -0.932531
2.60819e+12, -0.866306, -0.950394
2.63817e+12, -0.890705, -0.965968
2.66815e+12, -0.912958, -0.979214
2.69813e+12, -0.933012, -0.990101
2.72811e+12, -0.950818, -0.998603
2.75809e+12, -0.966333, -1.0047
2.78807e+12, -0.979521, -1.00838
2.81805e+12, -0.990349, -1.00962
2.84803e+12, -0.99879, -1.00844
2.87801e+12, -1.00483, -1.00482
2.90799e+12, -1.00844, -0.998786
2.93797e+12, -1.00963, -0.990344
2.96795e+12, -1.00838, -0.979516
2.99792e+12, -1.0047, -0.966329
3.0279e+12, -0.998608, -0.950813
3.05788e+12, -0.990106, -0.933007
3.08786e+12, -0.979218, -0.912954
3.11784e+12, -0.965972, -0.890701
3.14782e+12, -0.950398, -0.866302
3.1778e+12, -0.932535, -0.839816
3.20778e+12, -0.912426, -0.811307
3.23776e+12, -0.890118, -0.780843
3.26774e+12, -0.865666, -0.748498
3.29772e+12, -0.839128, -0.714351
3.3277e+12, -0.810569, -0.678482
3.35768e+12, -0.780057, -0.640978
3.38765e+12, -0.747666, -0.601931
3.41763e+12, -0.713474, -0.561433
3.44761e+12, -0.677563, -0.519583
3.47759e+12, -0.640019, -0.476481
3.50757e+12, -0.600934, -0.432232
3.53755e+12, -0.560401, -0.38694
3.56753e+12, -0.518518, -0.340717
3.59751e+12, -0.475386, -0.293673
3.62749e+12, -0.431108, -0.245922
3.65747e+12, -0.385792, -0.197578
